53.57,7.08
52.64,7
52.63,6.73
52.47,6.69
52.44,7
52.23,7.02
51.94,6.79
51.81,5.98
49.50,6.37
48.94,8.2
47.60,7.55
47.59,13.07, near salzburg
48.11,12.75
48.72,13.86
50.19,12.2
51.07,14.54
50.60,16.42
50.42,16.21
50.11,16.68
50.24,17.01
50.44,16.88
49.53,18.85
49.00,22.84
49.59,22.64
50.75,24.07
52.08,23.62
52.29,23.2
52.76,23.95
54.27,23.43
54.44,19.8
draw,black,line,
51.00,14.93,poland west brdr
52.86,14.13
53.94,14.21
draw,black,line,
51.12,6.07,ned,bel
51.48,4.49
51.35,3.31
draw,black,line,
49.47,6.34,lux,bel
49.82,4.89
50.17,4.8
49.94,4.43
51.09,2.52
draw,black,line,
50.19,6.15
49.97,5.76
49.51,5.82
draw,black,line,
51.67,23.55,blr,ukr
51.54,30.54
52.07,30.87
52.30,33.86
50.36,35.68,nw harkova
50.45,37.48
49.57,40.14
47.83,39.74
47.61,38.35
47.12,38.22
draw,black,line,
46.13,20.27
43.82,22.97
43.64,25.52
44.13,27.11
43.73,28.57
draw,black,line,
45.90,18.86
44.88,19.02
draw,black,line,
41.89,19.27
42.66,19.73
42.86,20.36
43.52,19.22
draw,black,line,
42.56,20.07,alb,serb
41.96,20.62
40.90,20.75
40.91,20.96
40.56,21.05
39.80,20.4
39.69,20
draw,black,line,
40.85,21,gre,pmaked
41.34,22.79
41.56,24.54
41.24,25.27
41.35,26.11
41.73,26.09
42.10,27.29
42.00,28.03
draw,black,line,
41.76,26.34
41.40,26.63
40.71,26.05
draw,black,line,
53.92,23.54,blr,pol
54.30,25.52
55.22,26.7
55.68,26.62
56.16,28.15
55.61,30.92
53.43,32.76
53.21,31.39
52.11,31.78
draw,black,line,
54.38,22.77
54.91,22.84
55.28,21.24
draw,black,line,
55.69,26.66,ltu
56.44,24.88
56.13,20.98
draw,black,line,
56.17,28.16,lat
57.37,27.87
58.08,25.3
57.88,24.33
draw,black,line,
57.54,27.34,est
57.85,27.78
58.79,27.36
59.47,28.02
draw,black,line,
54.91,8.61
54.83,9.53
draw,black,line,
54.01,-6.08
54.42,-7.04
54.11,-7.4
54.45,-8.17
55.25,-6.92
draw,black,line,
60.48,27.72
62.91,31.58
63.73,30.03
64.15,30.55
64.42,30.05
65.62,29.77
65.70,30.16
66.95,29.05
67.69,30.02
68.20,28.64
69.66,29.33
70.10,27.94
69.90,26.30
68.64,25.1
68.84,23.9
68.63,23.2
68.76,22.39
69.32,21.46
69.05,20.55
68.00,23.51
65.81,24.15
draw,black,line,
48.27,26.58,rom,bul
47.99,29.13
46.17,30.49
draw,black,line,
44.15,22.64,ser,bul
43.72,22.38
43.20,22.99
42.32,22.36
draw,black,line,
41.99,20.62
42.37,22.28
42.01,22.86
41.35,22.92
draw,black,line,
69.06,20.54
68.36,19.92
68.54,18.12
67.97,17.88
68.11,17.26
66.29,15.48
66.13,14.52
64.58,13.66
64.46,14.12
64.02,13.97
64.00,12.74
63.26,11.97
61.05,12.68
61.00,12.24
58.90,11.5
59.00,11.08
draw,black,line,
48.72,13.83,cze,aut
48.6,14.73
49.01,15.02
48.70,16.92
49.53,18.85
draw,black,line,
47.99,17.12
47.81,18.84
48.53,20.53
47.76,24.94
48.23,26.82
46.96,28.10
45.44,28.25
45.34,29.75,romania,blcksea
draw,black,line,
48.41,22.14,slovakia,ukraina
49.08,22.57
draw,black,line,
46.84,16.12
45.77,18.05
46.26,21.12
48.03,22.93
draw,black,line,
45.92,7.01
45.06,6.69
43.80,7.64
draw,black,line,
43.38,-1.79
42.42,3.18
draw,black,line,
42.01,-8.87,portugal
41.93,-6.52
39.69,-6.99
39.69,-7.54
39.04,-6.97
37.17,-7.4
draw,black,line,
45.61,13.67,trieste
45.64,13.9
46.52,13.71
draw,black,line,
45.47,13.51
45.49,15.31
46.58,16.46
draw,black,line,
42.93,17.54
45.18,15.76
44.90,19.36
44.01,19.58
43.64,19.48
42.57,18.42
42.91,17.83
42.88,17.63
draw,black,line,
47.60,7.58
46.42,6.07
46.16,6.04
46.44,6.78
45.91,7.04
46.45,8.42
45.82,9.0
46.48,9.26
46.26,10.19
46.87,10.46
draw,black,line,
47.46,9.66
47.05,9.49,liech
46.79,11.05
47.08,12.2
46.76,12.3
46.41,14.57, near graz
46.70,16.01
47.92,17.07
48.62,16.91
draw,black,line
